WARN: Client connection error: Connection reset
ETR at step 17 = 52.00000000000001
ETR at step 18 = 52.0
ETR at step 19 = 52.00000000000001
ETR at step 20 = 51.99999999999999
ETR at step 21 = 52.00000000000001
ETR at step 22 = 52.0
ETR at step 23 = 52.0
ETR at step 24 = 53.0
ETR at step 25 = 53.0
ETR at step 26 = 52.99999999999999
ETR at step 27 = 53.0
ETR at step 28 = 52.0
ETR at step 29 = 52.0
ETR at step 30 = 52.0
ETR at step 31 = 51.99999999999999
ETR at step 32 = 51.99999999999999
ETR at step 33 = 52.0
ETR at step 34 = 52.00000000000001
ETR at step 35 = 52.999999999999986
ETR at step 36 = 51.99999999999999
ETR at step 37 = 51.99999999999999
ETR at step 38 = 52.0
ETR at step 39 = 51.99999999999999
ETR at step 40 = 51.0
ETR at step 0 = 4.440892098500626E-16
ETR at step 1 = 1.999999999999992
ETR at step 2 = 6.000000000000002
ETR at step 3 = 10.999999999999995
ETR at step 4 = 16.000000000000007
ETR at step 5 = 21.000000000000007
ETR at step 6 = 26.999999999999993
ETR at step 7 = 30.000000000000007
ETR at step 8 = 30.0
ETR at step 9 = 30.000000000000007
ETR at step 10 = 30.000000000000007
ETR at step 11 = 29.999999999999993
ETR at step 12 = 30.999999999999996
ETR at step 13 = 30.999999999999993
ETR at step 14 = 30.999999999999982
ETR at step 15 = 30.999999999999993
ETR at step 16 = 31.0
ETR at step 17 = 32.0
ETR at step 18 = 32.0
ETR at step 19 = 32.0
ETR at step 20 = 31.99999999999999
ETR at step 21 = 33.0
ETR at step 22 = 33.0
ETR at step 23 = 33.0
ETR at step 24 = 33.0
ETR at step 25 = 33.0
ETR at step 26 = 33.999999999999986
ETR at step 27 = 34.0
ETR at step 28 = 33.99999999999999
ETR at step 29 = 34.00000000000001
ETR at step 30 = 33.99999999999999
ETR at step 31 = 33.99999999999999
ETR at step 32 = 33.99999999999999
ETR at step 33 = 34.00000000000001
ETR at step 34 = 34.0
ETR at step 35 = 33.999999999999986
ETR at step 36 = 33.99999999999999
ETR at step 37 = 33.999999999999986
ETR at step 38 = 33.99999999999999
ETR at step 39 = 34.99999999999999
ETR at step 40 = 35.0
ETR at step 0 = 4.440892098500626E-16
ETR at step 1 = 4.000000000000001
ETR at step 2 = 8.000000000000005
ETR at step 3 = 11.999999999999996
ETR at step 4 = 16.00000000000001
ETR at step 5 = 18.0
ETR at step 6 = 22.000000000000004
